Team,Season,P,W,D,L,GF,GA,HW,HGF,HGA,AW,AGF,AGA,PTS,H_Att,A_Att,H_Def,A_Def,YC,RC,DIS,CS,GD,Rank
QP Rangers,13,38,4,13,21,30,60,2,13,28,2,17,32,25,0.4391891891891892,0.7218683651804672,1.1889596602972399,1.0810810810810811,58,3,0.9210526315789473,7,-30,20
Reading,13,38,6,10,22,43,73,4,23,33,2,20,40,28,0.7770270270270271,0.8492569002123141,1.4012738853503186,1.3513513513513513,45,1,0.6447368421052632,5,-30,19
Wigan Athletic,13,38,9,9,20,47,73,4,26,39,5,21,34,36,0.8783783783783784,0.8917197452229301,1.6560509554140128,1.1486486486486487,66,2,0.9736842105263158,5,-26,18
Sunderland,13,38,9,12,17,41,54,5,20,19,4,21,35,39,0.6756756756756757,0.8917197452229301,0.8067940552016986,1.1824324324324325,60,3,0.9473684210526315,11,-13,17
Newcastle Utd,13,38,11,8,19,45,68,9,24,31,2,21,37,41,0.8108108108108107,0.8917197452229301,1.316348195329087,1.25,69,4,1.118421052631579,6,-23,16
Aston Villa,13,38,10,11,17,47,69,5,23,28,5,24,41,41,0.7770270270270271,1.019108280254777,1.1889596602972399,1.3851351351351353,70,3,1.0789473684210527,5,-22,15
Southampton,13,38,9,14,15,49,60,6,26,24,3,23,36,41,0.8783783783783784,0.9766454352441614,1.019108280254777,1.2162162162162162,43,2,0.6710526315789473,7,-11,14
Stoke City,13,38,9,15,14,34,45,7,21,22,2,13,23,42,0.7094594594594595,0.5520169851380042,0.9341825902335457,0.7770270270270271,73,4,1.1710526315789473,12,-11,13
Fulham,13,38,11,10,17,50,60,7,28,30,4,22,30,43,0.9459459459459459,0.9341825902335457,1.2738853503184715,1.0135135135135136,48,3,0.7894736842105263,8,-10,12
Norwich City,13,38,10,14,14,41,58,8,25,20,2,16,38,44,0.8445945945945946,0.6794055201698513,0.8492569002123141,1.2837837837837838,60,1,0.8421052631578947,10,-17,11
West Ham Utd,13,38,12,10,16,45,53,9,34,22,3,11,31,46,1.1486486486486487,0.46709129511677283,0.9341825902335457,1.0472972972972974,74,1,1.0263157894736843,11,-8,10
Swansea City,13,38,11,13,14,47,51,6,28,26,5,19,25,46,0.9459459459459459,0.8067940552016986,1.1040339702760085,0.8445945945945946,56,2,0.8421052631578947,10,-4,9
West Bromwich,13,38,14,7,17,53,57,9,32,25,5,21,32,49,1.0810810810810811,0.8917197452229301,1.061571125265393,1.0810810810810811,62,4,1.0263157894736843,8,-4,8
Liverpool,13,38,16,13,9,71,43,9,33,16,7,38,27,61,1.114864864864865,1.6135881104033971,0.6794055201698513,0.9121621621621622,54,2,0.8157894736842105,16,28,7
Everton,13,38,16,15,7,55,40,12,33,17,4,22,23,63,1.114864864864865,0.9341825902335457,0.7218683651804672,0.7770270270270271,57,3,0.9078947368421053,11,15,6
Tottenham,13,38,21,9,8,66,46,11,29,18,10,37,28,72,0.9797297297297298,1.5711252653927814,0.7643312101910827,0.9459459459459459,54,2,0.8157894736842105,9,20,5
Arsenal,13,38,21,10,7,72,37,11,47,23,10,25,14,73,1.587837837837838,1.061571125265393,0.9766454352441614,0.47297297297297297,40,5,0.7894736842105263,14,35,4
Chelsea,13,38,22,9,7,75,39,12,41,16,10,34,23,75,1.3851351351351353,1.4437367303609343,0.6794055201698513,0.7770270270270271,49,3,0.8026315789473685,14,36,3
Manchester City,13,38,23,9,6,66,34,14,41,15,9,25,19,78,1.3851351351351353,1.061571125265393,0.6369426751592357,0.6418918918918919,63,3,0.9868421052631579,18,32,2
Manchester Utd,13,38,28,5,5,86,43,16,45,19,12,41,24,89,1.5202702702702702,1.7409766454352442,0.8067940552016986,0.8108108108108107,57,1,0.8026315789473685,13,43,1
Cardiff City,14,38,7,9,22,32,74,5,20,35,2,12,39,30,0.6688963210702341,0.5286343612334802,1.5418502202643172,1.3043478260869565,49,1,0.6973684210526315,7,-42,20
Fulham,14,38,9,5,24,40,85,5,24,38,4,16,47,32,0.8026755852842808,0.7048458149779736,1.6740088105726874,1.5719063545150502,56,1,0.7894736842105263,5,-45,19
Norwich City,14,38,8,9,21,28,62,6,17,18,2,11,44,33,0.568561872909699,0.4845814977973569,0.7929515418502202,1.4715719063545152,61,2,0.9078947368421053,12,-34,18
West Bromwich,14,38,7,15,16,43,59,4,24,27,3,19,32,36,0.8026755852842808,0.8370044052863437,1.1894273127753305,1.0702341137123745,67,0,0.881578947368421,7,-16,17
Hull City,14,38,10,7,21,38,53,7,20,21,3,18,32,37,0.6688963210702341,0.7929515418502202,0.9251101321585904,1.0702341137123745,52,4,0.8947368421052632,10,-15,16
Aston Villa,14,38,10,8,20,39,61,6,22,29,4,17,32,38,0.7357859531772576,0.748898678414097,1.2775330396475773,1.0702341137123745,78,0,1.0263157894736843,9,-22,15
Sunderland,14,38,10,8,20,41,60,5,21,27,5,20,33,38,0.7023411371237459,0.8810572687224669,1.1894273127753305,1.1036789297658862,67,7,1.25,11,-19,14
West Ham Utd,14,38,11,7,20,40,51,7,25,26,4,15,25,40,0.8361204013377928,0.6607929515418502,1.145374449339207,0.8361204013377928,59,5,1.0394736842105263,14,-11,13
Swansea City,14,38,11,9,18,54,54,6,33,26,5,21,28,42,1.1036789297658862,0.9251101321585904,1.145374449339207,0.9364548494983277,53,3,0.8552631578947368,8,0,12
Crystal Palace,14,38,13,6,19,33,48,8,18,23,5,15,25,45,0.6020066889632106,0.6607929515418502,1.013215859030837,0.8361204013377928,59,2,0.881578947368421,12,-15,11
Newcastle Utd,14,38,15,4,19,43,59,8,23,28,7,20,31,49,0.7692307692307693,0.8810572687224669,1.2334801762114538,1.0367892976588629,51,6,0.9868421052631579,10,-16,10
Stoke City,14,38,13,11,14,45,52,10,27,17,3,18,35,50,0.903010033444816,0.7929515418502202,0.748898678414097,1.1705685618729096,69,5,1.1710526315789473,9,-7,9
Southampton,14,38,15,11,12,54,46,8,32,23,7,22,23,56,1.0702341137123745,0.9691629955947137,1.013215859030837,0.7692307692307693,60,0,0.7894736842105263,15,8,8
Manchester Utd,14,38,19,7,12,64,43,9,29,21,10,35,22,64,0.9698996655518395,1.5418502202643172,0.9251101321585904,0.7357859531772576,64,3,1.0,13,21,7
Tottenham,14,38,21,6,11,55,51,11,30,23,10,25,28,69,1.0033444816053512,1.1013215859030838,1.013215859030837,0.9364548494983277,66,4,1.0789473684210527,14,4,6
Everton,14,38,21,9,8,61,39,13,38,19,8,23,20,72,1.2709030100334449,1.013215859030837,0.8370044052863437,0.6688963210702341,54,1,0.7631578947368421,15,22,5
