Team,Season,Ovr,Def,Mid,Fwd,Phy,Spd
Chelsea,14,86,87,85,87,81,78
Manchester City,14,86,85,86,92,82,79
Manchester Utd,14,85,83,85,89,79,78
Arsenal,14,84,84,85,82,78,80
Tottenham,14,83,80,83,84,80,79
Liverpool,14,82,82,82,83,80,79
Stoke City,14,81,79,80,82,81,76
Newcastle Utd,14,81,81,80,82,79,79
West Ham Utd,14,80,80,80,82,80,77
Southampton,14,80,81,78,80,79,75
Everton,14,80,81,83,79,79,77
Sunderland,14,80,79,81,81,78,77
Fulham,14,80,80,80,84,78,76
West Bromwich,14,80,79,81,78,79,76
Norwich City,14,79,80,79,80,78,77
Crystal Palace,14,79,79,79,78,78,76
Cardiff City,14,79,78,79,79,77,77
Swansea City,14,79,78,80,80,77,77
Aston Villa,14,79,79,79,81,78,79
Hull City,14,79,78,78,80,78,76
