Team,Ovr,Def,Mid,Fwd,Phy,Spd
Manchester City,81,81,83,82,82,76
Chelsea,79,77,82,82,80,77
Liverpool,79,78,81,80,79,79
Manchester United,78,74,79,83,77,78
Tottenham Hotspur,77,78,75,78,79,77
Arsenal,77,77,76,81,77,75
Newcastle United,75,76,77,73,78,76
West Bromwich Albion,75,74,76,71,80,73
Hull City,75,75,76,77,78,75
Everton,74,72,75,76,76,75
QPR,74,73,75,75,77,74
Stoke City,74,72,74,78,79,71
Sunderland,74,76,75,71,78,73
Aston Villa,74,74,75,77,79,76
West Ham United,73,72,73,73,79,73
Southampton,73,74,73,74,77,75
Crystal Palace,73,75,72,73,79,74
Swansea City,72,71,73,75,76,73
Leicester City,69,70,71,66,73,72
Burnley,68,66,68,69,73,70
