Team,Season,Rank
Arsenal,13,4
Aston Villa,13,15
Chelsea,13,3
Everton,13,6
Fulham,13,12
Liverpool,13,7
Manchester City,13,2
Manchester Utd,13,1
Newcastle Utd,13,16
Norwich City,13,11
QP Rangers,13,20
Reading,13,19
Southampton,13,14
Stoke City,13,13
Sunderland,13,17
Swansea City,13,9
Tottenham,13,5
West Bromwich,13,8
West Ham Utd,13,10
Wigan,13,18
Arsenal,14,4
Aston Villa,14,15
Cardiff City,14,20
Chelsea,14,3
Crystal Palace,14,11
Everton,14,5
Fulham,14,19
Hull City,14,16
Liverpool,14,2
Manchester City,14,1
Manchester Utd,14,7
Newcastle Utd,14,10
Norwich City,14,18
Southampton,14,8
Stoke City,14,9
Sunderland,14,14
Swansea City,14,12
Tottenham,14,6
West Bromwich,14,17
West Ham Utd,14,13
Arsenal,15,3
Aston Villa,15,17
Burnley,15,19
Chelsea,15,1
Crystal Palace,15,10
Everton,15,11
Hull City,15,18
Leicester City,15,14
Liverpool,15,6
Manchester City,15,2
Manchester Utd,15,4
Newcastle Utd,15,15
QP Rangers,15,20
Southampton,15,7
Stoke City,15,9
Sunderland,15,16
Swansea City,15,8
Tottenham,15,5
West Bromwich,15,13
West Ham Utd,15,12
Arsenal,16,2
Aston Villa,16,20
Bournemouth,16,16
Chelsea,16,10
Crystal Palace,16,15
Everton,16,11
Leicester City,16,1
Liverpool,16,8
Manchester City,16,4
Manchester Utd,16,5
Newcastle Utd,16,18
Norwich City,16,19
Southampton,16,6
Stoke City,16,9
Sunderland,16,17
Swansea City,16,12
Tottenham,16,3
Watford,16,13
West Bromwich,16,14
West Ham Utd,16,7
Arsenal,17,5
Bournemouth,17,9
Burnley,17,16
Chelsea,17,1
Crystal Palace,17,14
Everton,17,7
Hull City,17,18
Leicester City,17,12
Liverpool,17,4
Manchester City,17,3
Manchester Utd,17,6
Middlesbrough,17,19
Southampton,17,8
Stoke City,17,13
Sunderland,17,20
Swansea City,17,15
Tottenham,17,2
Watford,17,17
West Bromwich,17,10
West Ham Utd,17,11
Arsenal,18,6
Bournemouth,18,12
Brighton & Hove,18,15
Burnley,18,7
Chelsea,18,5
Crystal Palace,18,11
Everton,18,8
Huddersfield,18,16
Leicester City,18,9
Liverpool,18,4
Manchester City,18,1
Manchester Utd,18,2
Newcastle Utd,18,10
Southampton,18,17
Stoke City,18,19
Swansea City,18,18
Tottenham,18,3
Watford,18,14
West Bromwich,18,20
West Ham Utd,18,13
Arsenal,19,6
Bournemouth,19,8
Brighton & Hove,19,16
Burnley,19,13
Chelsea,19,5
Crystal Palace,19,10
Everton,19,12
Huddersfield,19,17
Leicester City,19,7
Liverpool,19,3
Manchester City,19,1
Manchester Utd,19,2
Newcastle Utd,19,11
Southampton,19,15
Tottenham,19,4
Watford,19,9
West Ham Utd,19,14
