Team,P,W,D,L,GF,GA,HW,HGF,HGA,AW,AGF,AGA,PTS,H_Att,A_Att,H_Def,A_Def,YC,RC,DIS,CS
Arsenal,38,24,7,7,68,41,13,36,11,11,32,30,79,1.2040133779264213,1.4096916299559472,0.4845814977973569,1.0033444816053512,51,4,0.881578947368421,17
Aston Villa,38,10,8,20,39,61,6,22,29,4,17,32,38,0.7357859531772576,0.748898678414097,1.2775330396475773,1.0702341137123745,78,0,1.0263157894736843,9
Cardiff City,38,7,9,22,32,74,5,20,35,2,12,39,30,0.6688963210702341,0.5286343612334802,1.5418502202643172,1.3043478260869565,49,1,0.6973684210526315,7
Chelsea,38,25,7,6,71,27,15,43,11,10,28,16,82,1.4381270903010033,1.2334801762114538,0.4845814977973569,0.5351170568561873,54,3,0.868421052631579,18
Crystal Palace,38,13,6,19,33,48,8,18,23,5,15,25,45,0.6020066889632106,0.6607929515418502,1.013215859030837,0.8361204013377928,59,2,0.881578947368421,12
Everton,38,21,9,8,61,39,13,38,19,8,23,20,72,1.2709030100334449,1.013215859030837,0.8370044052863437,0.6688963210702341,54,1,0.7631578947368421,15
Fulham,38,9,5,24,40,85,5,24,38,4,16,47,32,0.8026755852842808,0.7048458149779736,1.6740088105726874,1.5719063545150502,56,1,0.7894736842105263,5
Hull City,38,10,7,21,38,53,7,20,21,3,18,32,37,0.6688963210702341,0.7929515418502202,0.9251101321585904,1.0702341137123745,52,4,0.8947368421052632,10
Liverpool,38,26,6,6,101,50,16,53,18,10,48,32,84,1.7725752508361203,2.1145374449339207,0.7929515418502202,1.0702341137123745,53,1,0.75,10
Manchester City,38,27,5,6,102,37,17,63,13,10,39,24,86,2.1070234113712374,1.7180616740088108,0.5726872246696035,0.8026755852842808,72,1,1.0,16
Manchester Utd,38,19,7,12,64,43,9,29,21,10,35,22,64,0.9698996655518395,1.5418502202643172,0.9251101321585904,0.7357859531772576,64,3,1.0,13
Newcastle Utd,38,15,4,19,43,59,8,23,28,7,20,31,49,0.7692307692307693,0.8810572687224669,1.2334801762114538,1.0367892976588629,51,6,0.9868421052631579,10
Norwich City,38,8,9,21,28,62,6,17,18,2,11,44,33,0.568561872909699,0.4845814977973569,0.7929515418502202,1.4715719063545152,61,2,0.9078947368421053,12
Southampton,38,15,11,12,54,46,8,32,23,7,22,23,56,1.0702341137123745,0.9691629955947137,1.013215859030837,0.7692307692307693,60,0,0.7894736842105263,15
Stoke City,38,13,11,14,45,52,10,27,17,3,18,35,50,0.903010033444816,0.7929515418502202,0.748898678414097,1.1705685618729096,69,5,1.1710526315789473,9
Sunderland,38,10,8,20,41,60,5,21,27,5,20,33,38,0.7023411371237459,0.8810572687224669,1.1894273127753305,1.1036789297658862,67,7,1.25,11
Swansea City,38,11,9,18,54,54,6,33,26,5,21,28,42,1.1036789297658862,0.9251101321585904,1.145374449339207,0.9364548494983277,53,3,0.8552631578947368,8
Tottenham,38,21,6,11,55,51,11,30,23,10,25,28,69,1.0033444816053512,1.1013215859030838,1.013215859030837,0.9364548494983277,66,4,1.0789473684210527,14
West Bromwich,38,7,15,16,43,59,4,24,27,3,19,32,36,0.8026755852842808,0.8370044052863437,1.1894273127753305,1.0702341137123745,67,0,0.881578947368421,7
West Ham Utd,38,11,7,20,40,51,7,25,26,4,15,25,40,0.8361204013377928,0.6607929515418502,1.145374449339207,0.8361204013377928,59,5,1.0394736842105263,14
