Team,P,W,D,L,HW,AW,GF,GA,PTS,YC,RC,DIS,CS
Arsenal,38,19,6,13,15,4,74,51,63,57,2,0.8552631578947368,13
Bournemouth,38,11,11,16,7,4,45,61,44,54,1,0.7631578947368421,6
Brighton & Hove,38,9,13,16,7,2,34,54,40,54,2,0.8157894736842105,10
Burnley,38,14,12,12,7,7,36,39,54,65,0,0.8552631578947368,12
Chelsea,38,21,7,10,11,10,62,38,70,40,4,0.7368421052631579,16
Crystal Palace,38,11,11,16,7,4,45,55,44,72,0,0.9473684210526315,9
Everton,38,13,10,15,10,3,44,58,49,49,3,0.8026315789473685,10
Huddersfield,38,9,10,19,6,3,28,58,37,59,3,0.9342105263157895,10
Leicester City,38,12,11,15,7,5,56,60,47,48,5,0.8947368421052632,9
Liverpool,38,21,12,5,12,9,84,38,75,44,1,0.631578947368421,17
Manchester City,38,32,4,2,16,16,106,27,100,57,2,0.8552631578947368,18
Manchester Utd,38,25,6,7,15,10,68,28,81,64,1,0.8947368421052632,19
Newcastle Utd,38,12,8,18,8,4,39,47,44,51,2,0.7763157894736842,9
Southampton,38,7,15,16,4,3,37,56,36,62,2,0.9210526315789473,8
Stoke City,38,7,12,19,5,2,35,68,33,62,1,0.868421052631579,6
Swansea City,38,8,9,21,6,2,28,56,33,51,1,0.7236842105263158,9
Tottenham,38,23,8,7,13,10,74,36,77,49,2,0.75,16
Watford,38,11,8,19,7,4,44,64,41,62,4,1.0263157894736843,9
West Bromwich,38,6,13,19,3,3,31,56,31,73,1,1.013157894736842,10
West Ham Utd,38,10,12,16,7,3,48,68,42,72,2,1.0526315789473684,10
